Time,Open,High,Low,Close,Volume,Trades
1672632000,4.4395,4.4668,4.4395,4.4664,8825.93690879,61
1672632900,4.4616,4.4641,4.4554,4.4571,693.97298312,19
1672633800,4.4522,4.4601,4.4379,4.4384,9406.9673193,78
1672634700,4.4378,4.4416,4.4262,4.4404,20942.58909951,62
1672635600,4.4421,4.4506,4.4421,4.4453,12764.15473009,47
1672636500,4.4437,4.4437,4.4408,4.4434,415.4668911,7
1672637400,4.4382,4.4459,4.4382,4.4459,58.13394489,3
1672638300,4.447,4.4537,4.4423,4.4423,155.71026026,8
1672639200,4.443,4.4433,4.4413,4.4433,54.15313992,4
1672641000,4.4495,4.45,4.4432,4.4432,1204.87631107,18
1672641900,4.4361,4.4377,4.429,4.429,9.63035364,6
1672642800,4.4287,4.4759,4.4276,4.4741,436.96011848,39
1672643700,4.4713,4.487,4.4521,4.4688,2439.53178131,83
1672644600,4.4766,4.4882,4.4736,4.4828,706.86946603,16
1672645500,4.4846,4.4847,4.4708,4.4782,5499.89818209,24
1672646400,4.4721,4.4922,4.4721,4.4863,1906.36967452,29
1672647300,4.4923,4.4942,4.4888,4.4942,1469.94287617,6
1672648200,4.4942,4.4962,4.4942,4.4962,1003.73396909,7
1672649100,4.496,4.497,4.4853,4.4853,2483.79135275,15
1672650000,4.4947,4.4949,4.4947,4.4949,90.91743949,2
1672650900,4.4982,4.5099,4.4982,4.5099,7353.29582212,30
1672651800,4.51,4.5193,4.5097,4.5097,6994.22615323,51
1672652700,4.5056,4.5056,4.4958,4.4968,1209.82910112,14
1672653600,4.4884,4.5001,4.4862,4.4867,489.8369223,9
1672654500,4.4856,4.4856,4.485,4.485,10.48022803,2
1672655400,4.4917,4.4919,4.4917,4.4919,247.558,4
1672656300,4.4875,4.4875,4.4858,4.4858,103.21572206,2
1672657200,4.4863,4.4891,4.4857,4.4891,7104.79539321,39
1672658100,4.4885,4.4887,4.482,4.4824,8884.95818305,53
1672659000,4.4819,4.4856,4.478,4.4856,1436.90465492,39
1672659900,4.4864,4.4872,4.4864,4.4872,78.31604011,6
1672660800,4.4863,4.4935,4.4863,4.4921,6843.18601801,40
1672661700,4.4914,4.4935,4.4901,4.4935,547.63364285,5
1672662600,4.4947,4.4947,4.4947,4.4947,553.64167562,9
1672663500,4.49,4.4901,4.4868,4.487,10500.84525821,41
1672664400,4.487,4.4875,4.4785,4.4785,2483.7098261,25
1672665300,4.4794,4.4794,4.4793,4.4794,332.82640846,6
1672666200,4.4863,4.4912,4.4761,4.4761,9999.20126596,35
1672667100,4.4745,4.477,4.4745,4.4768,1212.12985228,10
1672668000,4.4784,4.4813,4.4784,4.4813,2363.96197495,17
1672668900,4.4813,4.486,4.4806,4.4806,3294.37517502,20
